Strike,Date,Tribal Agency,Country,Location,Full Address,Latitude,Longitude,Time Period,Minimum All Targets,Maximum All Targets,Minimum Domestic Buildings,Maximum Domestic Buildings,Minimum Religious Buildings,Maximum Religious Buildings,Minimum Other Buildings,Maximum Other Buildings,Minimum vehicles,Maximum vehicles,Strucutral Damage,Minimum Number of Missiles Reported Fired,Maximum Number of Missiles Reported Fired,Minimum Total Reported Killed,Maximum Total Reported Killed,Minimum Civilians Reported Killed,Maximum Civilians Reported Killed,Minimum Children Reported Killed,Maximum Children Reported Killed,Minimum Injured,Maximum Injured
Ob115,3/9/2010,NWA,Afghanistan,Khadar Khel,Afghanistan Khadar Khel,32.97355,69.62063,Evening,0,1,0,1,0,0,0,0,0,0,4,3,4,2,4,0,0,0,0,2,2
Ob169,10/12/2010,NWA,Afghanistan,Khadar Khel,Afghanistan Khadar Khel,32.97355,69.62063,Afternoon,1,2,0,1,0,0,0,0,1,1,-,2,4,4,4,0,0,0,0,2,2
Ob163,21/11/2010,NWA,Pakistan,Khaddi,Pakistan Khaddi,32.9723841,70.2140444,Afternoon,2,2,1,1,0,0,0,0,1,1,-,2,4,5,9,0,3,0,0,0,0
Ob10,1/4/2009,Orakzai,Pakistan,Khadezai,Pakistan Khadezai,33.6413167,70.7827342,Morning,1,1,1,1,0,0,0,0,0,0,4,2,2,10,14,5,5,3,3,4,16
Ob298,11/10/2012,Orakzai,Pakistan,Khadezai,Pakistan Khadezai,33.6413167,70.7827342,Morning or afternoon,4,4,3,3,1,1,0,0,0,0,4,4,4,16,26,0,2,0,0,5,15
Ob17,16/05/2009,NWA,India,Khaisoori,India Khaisoori,32.876181,70.241282,Morning,0,3,0,1,0,1,0,0,0,1,4,2,2,25,40,9,9,0,0,2,2
Ob142,7/10/2010,NWA,India,Khaisoori,India Khaisoori,32.876181,70.241282,Afternoon,1,2,0,1,0,0,0,0,1,1,-,2,2,4,4,0,0,0,0,2,2
Ob164,22/11/2010,NWA,India,Khaisoori,India Khaisoori,32.876181,70.241282,Evening,1,2,0,0,0,0,0,0,1,2,-,2,2,3,6,0,0,0,0,2,3
Ob196,11/3/2011,NWA,India,Khaisoori,India Khaisoori,32.876181,70.241282,Afternoon,1,1,0,0,0,0,0,0,1,1,-,2,10,4,12,5,5,0,0,0,0
Ob263,16/02/2012,NWA,India,Khaisoori,India Khaisoori,32.876181,70.241282,Afternoon,1,1,0,0,0,0,0,0,1,1,-,Unreported,Unreported,8,15,0,0,0,0,3,3
Ob129,21/09/2010,SWA,Pakistan,Khand Morsak,Pakistan Khand Morsak,32.337765,70.117493,Evening,1,1,0,0,0,0,0,0,1,1,-,2,2,7,8,0,0,0,0,4,5
Ob117,6/9/2010,NWA,Pakistan,Khar Qamar,Pakistan Khar Qamar,33.065,69.5488889,Afternoon,0,1,0,0,0,0,0,0,0,1,-,2,2,3,6,0,0,0,0,1,1
Ob189,23/01/2011,NWA,Pakistan,Khar Qamar,Pakistan Khar Qamar,33.065,69.5488889,Afternoon,1,0,0,0,0,0,0,0,1,0,-,1,2,2,3,0,0,0,0,0,0
Ob250,30/10/2011,NWA,Pakistan,Khar Qamar,Pakistan Khar Qamar,33.065,69.5488889,Morning,1,3,0,1,0,0,0,0,1,2,2,2,6,4,6,4,4,0,0,2,3
